Society,KCLSU Weblink,Email,Instagram,Warming Method,Message,Follow up,Result
Bharatanatyam Society,https://www.kclsu.org/groups/activities/join/22287/,bharatanatyamsoc@gmail.com,https://instagram.com/kcl.bharatanatyamsoc,,,,
Biochemistry Society,https://www.kclsu.org/groups/activities/join/11315/,kclbiochemistrysociety@gmail.com,https://instagram.com/kclbiochemsoc,,,,
Biomedical Sciences Society,https://www.kclsu.org/groups/activities/join/11709/,kclbiomedsociety@gmail.com,https://instagram.com/kclbiomedsociety,,,,
Biotechnology and Synthetic Biology Society,https://www.kclsu.org/groups/activities/join/synbiotech/,kcl.biotech.synbio@gmail.com,https://instagram.com/kclbiotechsynbio,,,,
Black Women's Society,https://www.kclsu.org/groups/activities/join/24448/,bws.kcl@gmail.com,https://instagram.com/kcl.bws,,,,
Boardgames and Tabletop RPG Society,https://www.kclsu.org/groups/activities/join/boardgameandtabletop/,kclboardgaming@gmail.com,https://instagram.com/kclboardgamesandtabletop,,,,
Brass Band,https://www.kclsu.org/groups/activities/join/kclbrassband/,brassbandkcl@gmail.com,https://instagram.com/kclbrassband,,,,
Brazilian Society,https://www.kclsu.org/groups/activities/join/braziliansociety/,kclbraziliansociety@gmail.com,https://instagram.com/kclbraziliansociety,,,,
Bright Futures UK Society,https://www.kclsu.org/groups/activities/join/kcl_bfuk/,k22006160@kcl.ac.uk,https://instagram.com/kcl_bfuk,,,,
British Red Cross on Campus,https://www.kclsu.org/groups/activities/join/16731/,kclbrconcampus@gmail.com,https://instagram.com/kclbrc,,,,
British Sign Language,https://www.kclsu.org/groups/activities/join/16242/,kclbslsociety@gmail.com,https://instagram.com/kclbslsociety,,,,
Bulgarian Society,https://www.kclsu.org/groups/activities/join/8352/,bulgarian.society.kcl@gmail.com,https://instagram.com/bulgarian.society.kcl,,,,
Cardiothoracic Surgery Society,https://www.kclsu.org/groups/activities/join/22431/,kclcardiothoracics@gmail.com,https://instagram.com/kclcardiothoracics,,,,
Cardiovascular Society,https://www.kclsu.org/groups/activities/join/kclcardiosoc/,cardiovascularsoc@gmail.com,https://instagram.com/kclcardiosoc,,,,
Catholic Society,https://www.kclsu.org/groups/activities/join/6351/,kclcatholicsociety@gmail.com,https://instagram.com/kclcathsoc,,,,
Central Asian Society,https://www.kclsu.org/groups/activities/join/24327/,kclcas@outlook.com,https://instagram.com/kclcas,,,,
Chemistry Society,https://www.kclsu.org/groups/activities/join/8360/,kclchemistrysociety@gmail.com,https://instagram.com/kclchemsoc,,,,
Chess Society,https://www.kclsu.org/groups/activities/join/6365/,kclchesssociety@outlook.com,https://instagram.com/kclchessclub,,,,
Chinese Students and Scholars Association (CSSA),https://www.kclsu.org/groups/activities/join/14780/,kclcssa@outlook.com,https://instagram.com/kcl.cssa,,,,
Chorus Society,https://www.kclsu.org/groups/activities/join/kcc/,KCLchorus@gmail.com,https://instagram.com/kclchorus,,,,
Christian Union (Strand),https://www.kclsu.org/groups/activities/join/6379/,kingscu@gmail.com,https://instagram.com/kclcu,,,,
Classics Society,https://www.kclsu.org/groups/activities/join/6386/,kclclassicssoc@gmail.com,https://instagram.com/kclclassics,,,,
Clinical & Academic Research Society,https://www.kclsu.org/groups/activities/join/28245/,,https://instagram.com/kcl.cars,,,,
Comedy Club,https://www.kclsu.org/groups/activities/join/comedyclub/,kclcomedysociety@gmail.com,https://instagram.com/kclcomedyclub,,,,
Commercial Law Society,https://www.kclsu.org/groups/activities/join/22303/,kclcommerciallawsociety@gmail.com,https://instagram.com/kclcommerciallawsociety,,,,
Gastro Society,,kclgastro@gmail.com,https://instagram.com/kclgastro,,,,
Genetics Society,,kclgenetics1@gmail.com,https://instagram.com/kcl.genetics,,,,
Geography Society,,geogon.kcl@gmail.com,https://instagram.com/kclgeogsoc,,,,
Geopolitics Forum,,,https://instagram.com/kcl.kgf,,,,
German Society,,germansoc@gmail.com,https://instagram.com/kclgermansoc,,,,
GP Society,,kclmsgpsoc@gmail.com,https://instagram.com/KCL_GPSoc,,,,
Graduate Entry Medicine Society (GEMS),,gktgraduateentrymedicine@gmail.com,https://instagram.com/kclgems,,,,
Green Finance,,kclgreenfinancesociety@gmail.com,https://instagram.com/greenfinancekcl,,,,
Gujarati Society,,,https://instagram.com/kclgujaratisoc,,,,
Haematology Society,,kclhaematologysociety@gmail.com,https://instagram.com/kclhaematologysoc,,,,
Health Humanities Society,,healthhumanitieskcl@gmail.com,https://instagram.com/kclhealthhumanities,,,,
Hellenic Society,,hellenicsockcl@gmail.com,https://instagram.com/kclhellenicsoc,,,,
Hindu Society,,kclhindusociety@gmail.com,https://instagram.com/kclhindusoc,,,,
History Society,,Kclhistsociety@outlook.com,https://instagram.com/kclhistorysociety,,,,
India Society,,indiasoc@gmail.com,https://instagram.com/kclindiasociety,,,,
Indian National Students Association (INSA),,insaatkings@gmail.com,https://instagram.com/insaatkings,,,,
Indonesian Society,,kcl.indosoc@gmail.com,https://instagram.com/kclindosoc,,,,
Indo-Pak Development Forum,,kclipdf@gmail.com,https://instagram.com/kclipdf,,,,
Innovative and Sustainable Dentistry,,kisdsoc@outlook.com,https://instagram.com/kisdsociety,,,,
International Relations Society,,kclinternationalrelations@gmail.com,https://instagram.com/kclinternationalrelations,,,,
Intersectional Feminist Society,,kclfemsoc@gmail.com,https://instagram.com/kclifemsoc,,,,
Islamic Society,,contact@kclisoc.org,https://instagram.com/Kclisoc,,,,
Israel Society,,,https://instagram.com/kclisrael,,,,
Italian Society,,italiansociety.kcl@gmail.com,https://instagram.com/kclitalians,,,,
Japan Society,,kcljapansociety@gmail.com,https://instagram.com/kcljapansociety,,,,
Jazz Society,,kcljazzsociety@gmail.com,https://instagram.com/kcljazzsoc,,,,
Jewish Society,,kcljewishsociety@gmail.com,https://instagram.com/kingsjsoc,,,,
Kadence,,kadenceacappella@gmail.com,https://instagram.com/kadencevox,,,,
kcl.finvation (Technology and Financial Innovation),,kcl.finvation@gmail.com,https://instagram.com/kcl.finvation,,,,
Korean Hallyu,,kclhallyu@gmail.com,https://instagram.com/kclhallyu,,,,
Kurdish Society,,kclkurdishsociety@outlook.com,https://instagram.com/kclkurdishsociety,,,,
Labour Society,,labourkcl@gmail.com,https://instagram.com/KCLLabour,,,,
Laparoscopic Surgery and Skills Society,,gktlapsoc@gmail.com,https://instagram.com/gkt_lapsoc,,,,
Latin American Society,,latam.kcl@gmail.com,https://instagram.com/latam.kcl,,,,
Lawyers Without Borders Society,,lwobkcl@gmail.com,https://instagram.com/lwobkcl,,,,
LGBT (GKT),,gktlgbt@gmail.com,https://instagram.com/gkt_lgbt,,,,
LGBTQ+ Society (KCL),,lgbtqkcl@gmail.com,https://instagram.com/kclgbt,,,,
Liberal Arts Society,,liberal.arts.kcl@gmail.com,https://instagram.com/kclliberalarts,,,,
Liberal Democrats,,kcllibdems@gmail.com,https://instagram.com/kcllibdems,,,,
Life Sciences Consulting and Careers Society,,kcl.lifesciconsultingsociety@gmail.com,https://instagram.com/kcl.lifesciconsultingsoc,,,,
Luxury Industry Society,,kings.luxurysoc@gmail.com,https://instagram.com/kcl.luxurysoc,,,,
Malaysian Society,,kclmsoc@gmail.com,https://instagram.com/kclmsoc,,,,
Mallu Society,,kclmallusoc@gmail.com,https://instagram.com/kclmallusociety,,,,
Mani-Pedi Society,,kclmanipedi@gmail.com,https://instagram.com/kclmanipedi,,,,
Marrow,,kings@ukmarrow.org,https://instagram.com/kclmarrow,,,,
Mature Students' Society,,kclmature@gmail.com,https://instagram.com/kclmaturestudents,,,,
Mauritian Society,,kclmauritiansoc@hotmail.com,https://instagram.com/kclmauritiansoc,,,,
Maxwell (Physics Society),,MaxwellSociety@outlook.com,https://instagram.com/maxwellsociety,,,,
Medical Education and Research Journals Society,,kclmerj@gmail.com,https://instagram.com/kcl_merj,,,,
MedTech Society,,kingsmedtechsoc@gmail.com,https://instagram.com/kingsmedtech,,,,
Music Society (GKT),,gktmusicsoc@gmail.com,https://instagram.com/gktmusicsoc,,,,
Music Society (KCL),,kclmusicsoc@gmail.com,https://instagram.com/kclmusicsoc,,,,
Musical Theatre (GKT),,GKTmusicaltheatre@gmail.com,https://instagram.com/gktmusicaltheatre,,,,
Musical Theatre (KCL),,kingsmusicaltheatresociety@gmail.com,https://instagram.com/kmtsoc,,,,
Negotiation Society,,kclnegotiationsociety@gmail.com,https://instagram.com/kclnegosoc,,,,
Nepalese Society,,kclnepsociety@gmail.com,https://instagram.com/kcl_nepsoc,,,,
Neuroscience Society,,kclneurosociety@gmail.com,https://instagram.com/kclneuroscience,,,,
Neurosurgery Society,,kclneurosurgicalsociety@gmail.com,https://instagram.com/kclneurosurgerysociety,,,,
Nightingale Society,,kingsnursingandmidwiferysoc@gmail.com,https://instagram.com/kclnightingalesoc,,,,
North American Medicine Society,,kclnamsociety@gmail.com,https://instagram.com/kclnamsociety,,,,
Obstetrics & Gynaecology Society,,kclobg@gmail.com,https://instagram.com/kclobg,,,,
On The Streets,,kclonthestreets@gmail.com,https://instagram.com/kcl_onthestreets,,,,
Oncology Society,,kcloncologysociety@gmail.com,https://instagram.com/kcloncosoc,,,,
Opera Society,,kingscollegeopera@gmail.com,https://instagram.com/kings_opera,,,,
Ophthalmology Society,,ophthalmologykcl@gmail.com,https://instagram.com/kcl.osoc,,,,
OSCE Society,,kings.osce.soc@gmail.com,,,,,
Overseas Christian Fellowship (OCF) Society,,Ocflondon@gmail.com,https://instagram.com/ocflondon,,,,
Paediatric Society,,getinvolved@kclpaediatrics.com,https://instagram.com/kclpaediatrics,,,,
Pathology Society,,kclpathsoc@hotmail.com,https://instagram.com/kclpathsoc,,,,
Pharmacy Society,,kclpharmsoc@gmail.com,https://instagram.com/kclpharmsoc,,,,
Philosophy Society,,philsockcl@gmail.com,https://instagram.com/kcl_philsoc,,,,
"Philosophy, Politics and Economics (PPE) Society",,kingsppesociety@gmail.com,https://instagram.com/kclppe,,,,
Photography Society,,KCLphotosociety@gmail.com,https://instagram.com/kclphotographysociety,,,,
Physiotherapy Society,,kclphysiosoc@gmail.com,https://instagram.com/kclphysio,,,,
Poetry Society,,kclpoetrysoc@gmail.com,https://instagram.com/kingspoetrysoc,,,,
Pokemon Society,,kclpokemon123go@gmail.com,https://instagram.com/kclpokemonsoc,,,,
Poker Society,,kingspokersociety@gmail.com,https://instagram.com/kingspokersociety,,,,
Policy Research Centre,,kingspolicyresearchcentre@gmail.com,https://instagram.com/kcl_research,,,,
Polish Society,,hello.kclpolishsociety@gmail.com,https://instagram.com/kclpolishsociety,,,,
Political Economy Society,,kclpoleconsociety@gmail.com,https://instagram.com/kclpoliticaleconomy,,,,
Politics Society,Politics Society,kclpolitics@gmail.com,https://instagram.com/kclpolitics,,,,
"PRASS (Plastic, Reconstructive and Aesthetic Surgery Society)",,kclprass@gmail.com,https://instagram.com/kclprass,,,,
ProBono Society,,info@kclprobono.org,https://instagram.com/kclprobono,,,,
Psychedelic Research Society,,kclpsychedelicresearch@gmail.com,https://instagram.com/kclpsychedelicresearch,,,,
Psychiatry Society,,kclpsychsoc@gmail.com,https://instagram.com/kcl_psychsoc,,,,
Public Awareness and Social Service Society (PASS),,kclhkpass@gmail.com,https://instagram.com/kcl.hkpass,,,,
Quantum Mechanics Society,,qmsocietykcl@gmail.com,https://instagram.com/kclquantummechanics,,,,
Radio,,kclradiosociety@gmail.com,https://instagram.com/kclradio,,,,
Radiology Society,,kclradiologysociety@gmail.com,https://instagram.com/kclradiologysociety,,,,
Real Estate & Property Society (KREPS),,info@kreps.club,https://instagram.com/kingsreps,,,,
Rheumatology Society,,kclrheumsoc@gmail.com,https://instagram.com/kclrheumatology,,,,
Roar News,,president@roarnews.co.uk,https://instagram.com/roar.news,,,,
Robotics,,roboticsKCL@gmail.com,https://instagram.com/kcl.robotics,,,,
Rock & Metal Music,,kingsrockmetal@gmail.com,https://instagram.com/kclrockmetal,,,,
Russian Speaking Society,,committee@kclrss.com,https://instagram.com/kclrss,,,,
Sattva,,kclsattva@gmail.com,https://instagram.com/kclsattva,,,,
Saudi Society,,saudisocietykcl@gmail.com,https://instagram.com/SaudiSocietyKCL,,,,
ScienceMind,,sciencemindmag@gmail.com,https://instagram.com/sciencemindmag,,,,
Scottish Society,,kclscottishsoc@gmail.com,https://instagram.com/kclscottishsoc,,,,
SEA Society (Southeast Asian),,kclaseansociety@gmail.com,https://instagram.com/kclseasociety,,,,
Shakespeare Company,,kingsshakespearecompany@gmail.com,https://instagram.com/kingsshakespeareco,,,,
Sikh Society,,kingssikhs@gmail.com,https://instagram.com/kingssikhs,,,,
Singapore Society,,kclsingsoc@gmail.com,https://instagram.com/kclsingsoc,,,,
Social Sciences Society,,kclsocialsciencesoc@gmail.com,,,,,
Space,,contact@kclspace.com,https://instagram.com/kclspace,,,,
Sports Business Club,,kingssportsbusiness@gmail.com,https://instagram.com/kingssportsbusiness,,,,
Sri Lankan Society,,kclsrilankansociety@gmail.com,https://instagram.com/kclsrilankansociety,,,,
St John Ambulance Society,,kcl@sja.org.uk,https://instagram.com/KCLxSJA,,,,
STAR (Student Action for Refugees),,kclstar@live.co.uk,https://instagram.com/kcl.star,,,,
Storytelling,,storytellingsoc@gmail.com,https://instagram.com/kclstorytellingsociety,,,,
Strand Magazine,,contact@strandmagazine.co.uk,https://instagram.com/strand_magazine,,,,
StreetDoctors,,southlondon@streetdoctors.org,https://instagram.com/slstreetdoctors,,,,
Streetlaw Society,,kclstreetlawsociety@gmail.com,https://instagram.com/kclstreetlaw,,,,
Students for Global Health,,kcl@studentsforglobalhealth.org,https://instagram.com/sfgh_kcl,,,,
Students For Justice For Palestine,,kcl.sjpalestine@gmail.com,https://instagram.com/kcl.sjp,,,,
Students Organize for Syria,,kclfreesyriansoc@gmail.com,https://instagram.com/kclfreesyriansoc,,,,
Sudanese society,,kclsudanesesociety@gmail.com,https://instagram.com/kclsudanesesoc,,,,
